frame,time_sec,track_id,class_id,class_name,center_x,center_y,conf,speed_kmh,exceeded
21,0.7007007007007007,6,2,car,1052,54,0.6572902798652649,4.803517785956455,0
21,0.7007007007007007,7,2,car,1598,52,0.2714366018772125,23.708945215677563,0
22,0.7340674007340674,1,2,car,1164,183,0.8091980218887329,14.421629880148776,0
22,0.7340674007340674,2,2,car,1671,56,0.5806920528411865,22.571210656054763,0
22,0.7340674007340674,3,2,car,1029,99,0.7897804379463196,5.0939204940791925,0
22,0.7340674007340674,4,2,car,1060,190,0.7614251971244812,11.576336824747282,0
22,0.7340674007340674,5,2,car,995,58,0.6602289080619812,3.3253347320232294,0
22,0.7340674007340674,6,2,car,1052,54,0.6552415490150452,4.612741193693832,0
23,0.7674341007674341,1,2,car,1167,187,0.8040269017219543,14.978338519341856,0
23,0.7674341007674341,2,2,car,1666,55,0.5806926488876343,22.14177073406732,0
23,0.7674341007674341,3,2,car,1030,100,0.8012758493423462,5.368637525480743,0
23,0.7674341007674341,4,2,car,1061,194,0.7935622334480286,11.949643638201099,0
23,0.7674341007674341,5,2,car,995,58,0.6553638577461243,3.2216781962201,0
23,0.7674341007674341,6,2,car,1053,55,0.5523806214332581,4.612741193693832,0
23,0.7674341007674341,7,2,car,1590,50,0.4717165529727936,23.611261131865007,0
24,0.8008008008008008,1,2,car,1171,190,0.835412323474884,15.260849037979506,0
24,0.8008008008008008,2,2,car,1661,54,0.599105179309845,21.552484437762622,0
24,0.8008008008008008,3,2,car,1031,101,0.79742032289505,5.2292664303896395,0
24,0.8008008008008008,4,2,car,1063,197,0.7489542961120605,12.095740845438117,0
24,0.8008008008008008,5,2,car,996,59,0.6764851808547974,3.495072565770273,0
24,0.8008008008008008,6,2,car,1054,55,0.5290873050689697,4.422761535511496,0
24,0.8008008008008008,7,2,car,1584,49,0.5101074576377869,23.201797303817298,0
24,0.8008008008008008,9,2,car,1153,36,0.26042988896369934,6.001787141643728,0
25,0.8341675008341676,1,2,car,1175,195,0.8392173051834106,15.68270915498977,0
25,0.8341675008341676,2,2,car,1654,53,0.600906491279602,21.159942548126164,0
25,0.8341675008341676,3,2,car,1032,103,0.8161633014678955,5.511728443963836,0
25,0.8341675008341676,4,2,car,1064,203,0.7943829894065857,12.838607602072742,0
25,0.8341675008341676,5,2,car,996,60,0.6598283052444458,3.3253347320232294,0
25,0.8341675008341676,6,2,car,1056,57,0.4739672541618347,4.677198084323563,0
25,0.8341675008341676,7,2,car,1579,50,0.3793480396270752,22.384408530909866,0
25,0.8341675008341676,14,2,car,930,12,0.33818018436431885,,0
26,0.8675342008675342,1,2,car,1179,200,0.8300119042396545,16.108390981100502,0
26,0.8675342008675342,2,2,car,1647,52,0.6480420231819153,20.926606002885418,0
26,0.8675342008675342,3,2,car,1033,104,0.8022173643112183,5.3760681692106544,0
